주파수 (Hz)	레벨 (dB)
23.437500	-98.130394
46.875000	-84.004852
70.312500	-69.357574
93.750000	-61.167419
117.187500	-59.888309
140.625000	-56.383869
164.062500	-54.420113
187.500000	-51.352894
210.937500	-50.885010
234.375000	-51.120907
257.812500	-50.814014
281.250000	-51.628277
304.687500	-51.139351
328.125000	-50.491772
351.562500	-50.998093
375.000000	-48.757351
398.437500	-46.255013
421.875000	-49.599281
445.312500	-50.296757
468.750000	-47.202831
492.187500	-50.631706
515.625000	-51.098289
539.062500	-52.370430
562.500000	-55.178082
585.937500	-50.778591
609.375000	-50.812397
632.812500	-50.558376
656.250000	-47.000000
679.687500	-47.277611
703.125000	-46.350651
726.562500	-52.435711
750.000000	-61.746265
773.437500	-56.356552
796.875000	-55.088661
820.312500	-56.846798
843.750000	-57.646519
867.187500	-56.670033
890.625000	-54.794628
914.062500	-62.439640
937.500000	-64.172546
960.937500	-67.449005
984.375000	-63.188728
1007.812500	-65.043510
1031.250000	-65.011391
1054.687500	-61.525013
1078.125000	-66.943497
1101.562500	-69.463158
1125.000000	-72.014961
1148.437500	-67.151024
1171.875000	-56.010178
1195.312500	-56.195450
1218.750000	-66.395538
1242.187500	-60.913811
1265.625000	-61.407051
1289.062500	-68.887100
1312.500000	-66.050842
1335.937500	-67.373482
1359.375000	-69.310188
1382.812500	-64.769875
1406.250000	-63.151474
1429.687500	-67.958244
1453.125000	-71.560013
1476.562500	-70.332420
1500.000000	-70.422997
1523.437500	-73.784714
1546.875000	-70.162079
1570.312500	-64.337234
1593.750000	-65.883484
1617.187500	-75.782150
1640.625000	-73.732864
1664.062500	-67.650307
1687.500000	-68.829033
1710.937500	-76.707916
1734.375000	-76.075371
1757.812500	-68.991219
1781.250000	-66.903389
1804.687500	-73.277214
1828.125000	-77.549454
1851.562500	-72.850815
1875.000000	-66.331062
1898.437500	-67.542641
1921.875000	-76.267540
1945.312500	-74.474876
1968.750000	-71.687149
1992.187500	-69.670563
2015.625000	-73.612953
2039.062500	-79.329666
2062.500000	-77.007988
2085.937500	-74.009956
2109.375000	-70.896187
2132.812500	-72.919334
2156.250000	-81.623833
2179.687500	-79.994606
2203.125000	-76.884117
2226.562500	-76.672279
2250.000000	-78.785614
2273.437500	-82.692322
2296.875000	-84.290237
2320.312500	-79.343712
2343.750000	-76.495728
2367.187500	-70.973885
2390.625000	-70.650795
2414.062500	-79.389893
2437.500000	-82.723938
2460.937500	-82.662292
2484.375000	-78.313171
2507.812500	-75.117828
2531.250000	-73.534088
2554.687500	-80.002808
2578.125000	-84.486115
2601.562500	-82.757118
2625.000000	-84.690506
2648.437500	-78.777603
2671.875000	-74.338654
2695.312500	-77.628578
2718.750000	-86.341347
2742.187500	-87.979858
2765.625000	-84.923683
2789.062500	-79.896736
2812.500000	-77.366814
2835.937500	-72.336090
2859.375000	-75.308350
2882.812500	-83.884682
2906.250000	-84.979767
2929.687500	-83.573753
2953.125000	-77.531715
2976.562500	-76.325523
3000.000000	-76.053146
3023.437500	-77.791748
3046.875000	-84.333557
3070.312500	-87.034843
3093.750000	-80.407684
3117.187500	-80.658684
3140.625000	-78.381721
3164.062500	-80.428673
3187.500000	-77.515884
3210.937500	-78.968369
3234.375000	-84.890427
3257.812500	-92.160645
3281.250000	-84.479233
3304.687500	-83.099075
3328.125000	-85.016792
3351.562500	-83.643990
3375.000000	-81.320236
3398.437500	-83.060860
3421.875000	-87.720169
3445.312500	-92.512230
3468.750000	-91.062111
3492.187500	-88.417572
3515.625000	-89.592896
3539.062500	-87.298950
3562.500000	-86.084534
3585.937500	-84.757027
3609.375000	-84.083572
3632.812500	-87.795204
3656.250000	-93.447029
3679.687500	-97.690720
3703.125000	-98.876877
3726.562500	-99.680679
3750.000000	-90.927505
3773.437500	-86.728119
3796.875000	-89.729897
3820.312500	-86.813515
3843.750000	-84.598991
3867.187500	-87.037354
3890.625000	-95.703529
3914.062500	-93.545906
3937.500000	-93.310234
3960.937500	-95.881989
3984.375000	-92.307236
4007.812500	-89.017616
4031.250000	-91.577400
4054.687500	-89.476791
4078.125000	-85.005806
4101.562500	-86.394394
4125.000000	-96.439293
4148.437500	-100.126892
4171.875000	-96.839554
4195.312500	-90.582680
4218.750000	-86.200844
4242.187500	-81.716705
4265.625000	-84.887474
4289.062500	-90.518738
4312.500000	-87.137413
4335.937500	-82.012505
4359.375000	-83.710938
4382.812500	-94.362411
4406.250000	-100.719620
4429.687500	-100.438347
4453.125000	-97.146446
