주파수 (Hz)	레벨 (dB)
23.437500	-93.062012
46.875000	-79.783348
70.312500	-64.296150
93.750000	-56.459835
117.187500	-52.869560
140.625000	-51.312023
164.062500	-51.438007
187.500000	-48.951729
210.937500	-49.199665
234.375000	-48.720055
257.812500	-46.284103
281.250000	-46.586525
304.687500	-45.833618
328.125000	-44.090328
351.562500	-44.193329
375.000000	-47.752789
398.437500	-46.833019
421.875000	-44.095341
445.312500	-41.786556
468.750000	-43.505520
492.187500	-47.071857
515.625000	-45.050415
539.062500	-45.995102
562.500000	-51.179214
585.937500	-48.704552
609.375000	-46.379345
632.812500	-45.376007
656.250000	-48.497669
679.687500	-47.283646
703.125000	-43.989635
726.562500	-48.646210
750.000000	-51.423534
773.437500	-49.514378
796.875000	-48.868134
820.312500	-48.479065
843.750000	-47.552963
867.187500	-50.864853
890.625000	-49.929768
914.062500	-57.470989
937.500000	-57.215153
960.937500	-58.125977
984.375000	-53.435276
1007.812500	-55.993797
1031.250000	-53.749092
1054.687500	-50.526604
1078.125000	-56.919540
1101.562500	-60.993435
1125.000000	-63.323441
1148.437500	-62.706390
1171.875000	-54.172909
1195.312500	-53.997814
1218.750000	-62.798542
1242.187500	-56.839714
1265.625000	-56.735065
1289.062500	-62.282635
1312.500000	-57.059731
1335.937500	-56.194431
1359.375000	-61.505245
1382.812500	-60.939819
1406.250000	-59.314365
1429.687500	-62.855724
1453.125000	-64.196457
1476.562500	-60.432915
1500.000000	-60.977486
1523.437500	-68.451035
1546.875000	-66.727005
1570.312500	-58.895679
1593.750000	-59.767673
1617.187500	-69.136986
1640.625000	-69.591995
1664.062500	-63.650421
1687.500000	-64.188499
1710.937500	-70.433357
1734.375000	-66.573517
1757.812500	-61.633541
1781.250000	-60.410175
1804.687500	-66.603447
1828.125000	-68.320770
1851.562500	-66.758957
1875.000000	-61.808681
1898.437500	-63.706612
1921.875000	-71.693993
1945.312500	-69.956406
1968.750000	-61.523369
1992.187500	-61.618198
2015.625000	-70.119843
2039.062500	-73.576591
2062.500000	-71.769905
2085.937500	-67.896538
2109.375000	-62.735020
2132.812500	-64.282166
2156.250000	-74.623230
2179.687500	-73.280884
2203.125000	-69.645226
2226.562500	-67.528084
2250.000000	-70.768913
2273.437500	-77.835266
2296.875000	-77.635895
2320.312500	-72.524147
2343.750000	-69.697716
2367.187500	-62.494553
2390.625000	-61.475399
2414.062500	-70.021118
2437.500000	-76.731827
2460.937500	-70.887505
2484.375000	-65.706131
2507.812500	-67.335793
2531.250000	-67.623772
2554.687500	-74.134521
2578.125000	-81.060509
2601.562500	-80.061806
2625.000000	-80.160393
2648.437500	-70.772408
2671.875000	-66.277939
2695.312500	-70.387650
2718.750000	-79.757233
2742.187500	-74.137680
2765.625000	-72.275215
2789.062500	-69.592926
2812.500000	-67.128517
2835.937500	-62.008286
2859.375000	-64.914856
2882.812500	-75.321907
2906.250000	-80.508217
2929.687500	-79.693893
2953.125000	-76.455528
2976.562500	-74.382660
3000.000000	-73.527496
3023.437500	-73.689232
3046.875000	-74.173897
3070.312500	-78.027275
3093.750000	-73.837830
3117.187500	-76.896950
3140.625000	-77.590546
3164.062500	-76.112152
3187.500000	-72.363976
3210.937500	-71.628647
3234.375000	-76.253723
3257.812500	-85.057343
3281.250000	-78.551628
3304.687500	-77.658478
3328.125000	-77.283943
3351.562500	-76.151054
3375.000000	-77.936172
3398.437500	-77.412392
3421.875000	-79.326881
3445.312500	-85.911591
3468.750000	-84.021858
3492.187500	-81.083832
3515.625000	-82.516342
3539.062500	-77.834633
3562.500000	-70.920258
3585.937500	-68.637238
3609.375000	-71.273048
3632.812500	-77.364174
3656.250000	-83.966461
3679.687500	-88.139519
3703.125000	-88.128479
3726.562500	-87.556000
3750.000000	-75.562103
3773.437500	-71.839729
3796.875000	-77.735237
3820.312500	-75.526634
3843.750000	-72.504181
3867.187500	-75.497185
3890.625000	-83.571205
3914.062500	-81.976776
3937.500000	-81.862579
3960.937500	-83.391617
3984.375000	-82.246971
4007.812500	-79.942749
4031.250000	-81.933708
4054.687500	-79.839012
4078.125000	-78.790031
4101.562500	-81.569458
4125.000000	-86.999451
4148.437500	-90.819801
4171.875000	-86.848480
4195.312500	-84.470009
4218.750000	-81.583061
4242.187500	-76.978668
4265.625000	-80.226097
4289.062500	-81.138863
4312.500000	-77.033989
4335.937500	-78.739563
