주파수 (Hz)	레벨 (dB)
23.437500	-100.419548
46.875000	-92.578987
70.312500	-78.780128
93.750000	-68.234489
117.187500	-62.791546
140.625000	-59.213573
164.062500	-57.625885
187.500000	-62.828014
210.937500	-60.937103
234.375000	-57.092747
257.812500	-60.583233
281.250000	-62.681526
304.687500	-60.422398
328.125000	-59.989502
351.562500	-60.351620
375.000000	-58.386562
398.437500	-60.528702
421.875000	-60.137287
445.312500	-63.687290
468.750000	-60.094921
492.187500	-61.059734
515.625000	-64.945053
539.062500	-66.362885
562.500000	-64.513618
585.937500	-66.647217
609.375000	-62.028896
632.812500	-60.489296
656.250000	-58.894730
679.687500	-61.768227
703.125000	-71.343430
726.562500	-68.627472
750.000000	-66.722832
773.437500	-72.630135
796.875000	-73.070648
820.312500	-63.271950
843.750000	-62.744499
867.187500	-73.184486
890.625000	-80.091156
914.062500	-77.877541
937.500000	-73.519295
960.937500	-73.293556
984.375000	-66.720680
1007.812500	-69.449837
1031.250000	-79.553871
1054.687500	-79.745712
1078.125000	-83.110451
1101.562500	-77.272125
1125.000000	-77.541916
1148.437500	-85.407829
1171.875000	-81.996704
1195.312500	-83.112778
1218.750000	-76.382538
1242.187500	-68.289970
1265.625000	-70.091614
1289.062500	-76.988258
1312.500000	-69.214981
1335.937500	-70.557793
1359.375000	-83.436150
1382.812500	-83.427353
1406.250000	-80.692947
1429.687500	-83.855209
1453.125000	-87.198631
1476.562500	-75.771393
1500.000000	-75.177254
1523.437500	-85.026360
1546.875000	-85.916855
1570.312500	-80.415596
1593.750000	-82.996658
1617.187500	-88.572464
1640.625000	-80.207474
1664.062500	-72.880852
1687.500000	-74.862198
1710.937500	-84.653107
1734.375000	-86.521957
1757.812500	-87.744133
1781.250000	-93.275856
1804.687500	-97.747032
1828.125000	-97.696281
1851.562500	-88.280464
1875.000000	-79.925636
1898.437500	-82.327805
1921.875000	-94.914070
1945.312500	-95.700356
1968.750000	-85.961205
1992.187500	-80.524513
2015.625000	-84.711601
2039.062500	-99.526817
2062.500000	-100.109795
2085.937500	-92.750504
2109.375000	-89.834221
2132.812500	-93.967155
2156.250000	-102.669617
2179.687500	-99.744873
2203.125000	-94.495667
2226.562500	-92.629433
2250.000000	-91.186920
2273.437500	-98.820610
2296.875000	-103.519722
2320.312500	-100.420471
2343.750000	-95.923820
2367.187500	-94.366219
2390.625000	-97.520226
2414.062500	-104.256653
2437.500000	-104.361015
2460.937500	-103.131317
2484.375000	-92.628868
2507.812500	-84.640701
2531.250000	-85.594139
2554.687500	-97.157959
2578.125000	-105.141861
2601.562500	-105.208603
2625.000000	-105.604851
2648.437500	-100.559616
2671.875000	-95.863205
2695.312500	-100.390892
2718.750000	-108.400459
2742.187500	-105.939384
2765.625000	-102.097610
2789.062500	-97.128433
2812.500000	-95.105865
2835.937500	-96.213051
2859.375000	-102.158905
2882.812500	-109.620995
2906.250000	-110.568687
2929.687500	-108.107018
2953.125000	-100.442223
2976.562500	-95.017540
3000.000000	-90.022774
3023.437500	-92.711830
3046.875000	-103.312897
3070.312500	-108.228851
3093.750000	-106.159401
3117.187500	-108.173218
3140.625000	-106.456474
3164.062500	-100.115753
3187.500000	-99.165161
3210.937500	-98.068604
3234.375000	-105.288582
3257.812500	-113.833008
3281.250000	-111.014648
3304.687500	-109.078911
3328.125000	-103.904564
3351.562500	-95.995590
3375.000000	-95.676880
3398.437500	-101.649323
3421.875000	-110.273018
3445.312500	-116.188263
3468.750000	-116.829674
3492.187500	-114.254883
3515.625000	-108.776337
3539.062500	-106.880501
3562.500000	-111.809341
3585.937500	-114.776268
3609.375000	-113.226730
3632.812500	-113.731071
3656.250000	-117.529419
3679.687500	-117.900291
3703.125000	-116.452637
3726.562500	-115.911301
3750.000000	-109.054993
3773.437500	-99.702278
3796.875000	-100.450508
3820.312500	-102.398605
3843.750000	-104.490700
3867.187500	-110.190567
3890.625000	-117.919510
3914.062500	-119.832039
3937.500000	-118.732811
3960.937500	-118.598465
3984.375000	-115.091225
4007.812500	-109.237434
4031.250000	-106.443436
4054.687500	-101.921783
4078.125000	-105.097290
4101.562500	-115.994347
4125.000000	-119.808372
4148.437500	-119.317833
4171.875000	-116.994247
4195.312500	-113.719002
4218.750000	-108.491745
4242.187500	-100.759460
4265.625000	-101.353027
4289.062500	-111.587021
4312.500000	-115.630363
4335.937500	-113.239655
4359.375000	-114.430557
4382.812500	-119.009064
4406.250000	-121.492233
4429.687500	-120.611023
4453.125000	-119.747993
4476.562500	-113.980324
4500.000000	-111.592514
4523.437500	-114.284943
