주파수 (Hz)	레벨 (dB)
23.437500	-100.731987
46.875000	-93.525887
70.312500	-81.848633
93.750000	-73.394722
117.187500	-68.368736
140.625000	-67.483368
164.062500	-68.161613
187.500000	-65.724831
210.937500	-64.356331
234.375000	-62.070938
257.812500	-64.004539
281.250000	-62.742428
304.687500	-61.679310
328.125000	-60.669098
351.562500	-61.875839
375.000000	-63.418274
398.437500	-64.876984
421.875000	-64.096657
445.312500	-59.647465
468.750000	-58.232571
492.187500	-61.903385
515.625000	-67.712494
539.062500	-59.993355
562.500000	-57.028130
585.937500	-64.761757
609.375000	-62.291721
632.812500	-60.571117
656.250000	-65.412590
679.687500	-64.743690
703.125000	-61.417652
726.562500	-64.618698
750.000000	-64.743423
773.437500	-70.936523
796.875000	-73.873497
820.312500	-66.497543
843.750000	-65.505196
867.187500	-64.462875
890.625000	-63.092461
914.062500	-71.484756
937.500000	-71.055824
960.937500	-75.723984
984.375000	-73.538872
1007.812500	-75.651382
1031.250000	-83.022301
1054.687500	-82.682976
1078.125000	-84.589493
1101.562500	-80.951729
1125.000000	-82.079796
1148.437500	-86.988441
1171.875000	-81.433853
1195.312500	-83.989662
1218.750000	-87.872459
1242.187500	-80.833893
1265.625000	-82.187759
1289.062500	-90.376358
1312.500000	-84.371384
1335.937500	-83.420204
1359.375000	-90.074829
1382.812500	-82.892159
1406.250000	-78.558899
1429.687500	-84.068855
1453.125000	-89.797081
1476.562500	-85.782959
1500.000000	-85.409698
1523.437500	-93.896568
1546.875000	-92.925575
1570.312500	-88.597191
1593.750000	-91.890297
1617.187500	-96.498924
1640.625000	-90.348534
1664.062500	-85.134865
1687.500000	-85.565895
1710.937500	-94.329643
1734.375000	-88.966965
1757.812500	-79.270576
1781.250000	-77.217987
1804.687500	-86.040901
1828.125000	-99.118393
1851.562500	-93.090424
1875.000000	-84.335648
1898.437500	-86.279396
1921.875000	-98.772247
1945.312500	-94.104912
1968.750000	-88.668694
1992.187500	-84.216621
2015.625000	-88.752724
2039.062500	-103.326714
2062.500000	-103.145012
2085.937500	-100.417770
2109.375000	-98.156227
2132.812500	-101.728104
2156.250000	-108.027023
2179.687500	-98.923416
2203.125000	-92.575943
2226.562500	-93.358192
2250.000000	-91.573692
2273.437500	-97.892517
2296.875000	-107.379974
2320.312500	-103.267403
2343.750000	-91.047752
2367.187500	-88.713448
2390.625000	-94.679214
2414.062500	-104.513382
2437.500000	-107.748627
2460.937500	-106.101875
2484.375000	-95.233658
2507.812500	-91.266533
2531.250000	-94.136772
2554.687500	-101.860977
2578.125000	-109.408195
2601.562500	-106.882843
2625.000000	-104.823502
2648.437500	-93.326370
2671.875000	-89.143295
2695.312500	-93.639656
2718.750000	-107.029022
2742.187500	-108.833611
2765.625000	-105.879471
2789.062500	-99.926926
2812.500000	-95.238144
2835.937500	-92.253708
2859.375000	-94.481453
2882.812500	-102.818100
2906.250000	-107.256538
2929.687500	-111.413681
2953.125000	-111.646675
2976.562500	-110.854378
3000.000000	-101.640770
3023.437500	-99.944206
3046.875000	-108.573830
3070.312500	-112.089058
3093.750000	-106.917824
3117.187500	-107.607346
3140.625000	-108.723244
3164.062500	-106.717499
3187.500000	-105.984756
3210.937500	-104.658386
3234.375000	-110.913681
3257.812500	-114.652107
3281.250000	-114.467247
3304.687500	-107.762695
3328.125000	-98.469215
3351.562500	-98.577553
3375.000000	-103.023384
3398.437500	-102.548889
3421.875000	-106.049591
3445.312500	-113.641281
3468.750000	-115.832130
3492.187500	-112.578560
3515.625000	-105.932274
3539.062500	-102.610176
3562.500000	-99.684364
3585.937500	-97.216988
3609.375000	-103.651062
3632.812500	-110.814804
3656.250000	-114.633728
3679.687500	-116.149124
3703.125000	-114.756470
3726.562500	-114.725502
3750.000000	-115.844109
3773.437500	-112.776367
3796.875000	-110.907021
3820.312500	-102.732979
3843.750000	-102.320534
3867.187500	-110.194519
3890.625000	-116.157951
3914.062500	-116.765854
3937.500000	-116.045570
3960.937500	-111.560524
3984.375000	-103.578911
4007.812500	-105.368248
4031.250000	-115.011948
4054.687500	-113.973061
4078.125000	-113.398705
4101.562500	-115.510391
4125.000000	-117.375908
4148.437500	-117.548180
4171.875000	-117.365051
4195.312500	-116.546410
4218.750000	-115.543945
4242.187500	-113.554779
4265.625000	-114.501030
4289.062500	-116.480247
4312.500000	-112.639160
4335.937500	-107.823021
4359.375000	-111.305916
4382.812500	-116.622215
4406.250000	-117.750938
4429.687500	-117.750549
4453.125000	-117.072281
4476.562500	-112.806992
4500.000000	-107.500526
4523.437500	-105.785202
4546.875000	-110.075180
4570.312500	-112.508369
4593.750000	-109.950798
4617.187500	-114.064957
4640.625000	-117.600258
4664.062500	-118.160149
4687.500000	-118.310242
4710.937500	-118.371658
4734.375000	-118.199432
4757.812500	-116.691727
4781.250000	-116.386574
4804.687500	-118.090805
4828.125000	-118.656860
4851.562500	-118.720993
4875.000000	-118.601639
4898.437500	-118.344780
4921.875000	-118.437454
4945.312500	-118.535538
4968.750000	-118.942177
4992.187500	-119.096939
5015.625000	-118.863838
5039.062500	-118.441124
5062.500000	-118.556969
