주파수 (Hz)	레벨 (dB)
23.437500	-98.648376
46.875000	-85.306938
70.312500	-70.615112
93.750000	-63.308365
117.187500	-60.234119
140.625000	-57.002506
164.062500	-56.149429
187.500000	-52.394184
210.937500	-51.873863
234.375000	-51.794308
257.812500	-50.872192
281.250000	-52.632957
304.687500	-53.025974
328.125000	-50.798542
351.562500	-48.576260
375.000000	-50.057796
398.437500	-50.220192
421.875000	-53.062737
445.312500	-51.103111
468.750000	-48.425709
492.187500	-52.103161
515.625000	-52.046280
539.062500	-53.065063
562.500000	-55.728886
585.937500	-51.174450
609.375000	-50.421566
632.812500	-50.032234
656.250000	-48.789200
679.687500	-49.081051
703.125000	-48.257271
726.562500	-54.301311
750.000000	-62.735474
773.437500	-58.298393
796.875000	-57.658779
820.312500	-59.320904
843.750000	-60.296764
867.187500	-55.227573
890.625000	-53.085888
914.062500	-61.099068
937.500000	-63.409809
960.937500	-67.064758
984.375000	-63.356586
1007.812500	-65.561554
1031.250000	-66.208519
1054.687500	-63.233757
1078.125000	-68.317352
1101.562500	-70.051880
1125.000000	-71.748550
1148.437500	-66.134216
1171.875000	-55.578480
1195.312500	-55.876953
1218.750000	-66.327385
1242.187500	-61.093182
1265.625000	-61.512058
1289.062500	-67.473785
1312.500000	-63.751549
1335.937500	-65.444817
1359.375000	-70.581406
1382.812500	-66.554573
1406.250000	-63.452396
1429.687500	-67.982704
1453.125000	-72.138351
1476.562500	-70.103386
1500.000000	-70.462883
1523.437500	-74.739128
1546.875000	-70.710655
1570.312500	-63.631573
1593.750000	-64.314278
1617.187500	-74.972565
1640.625000	-73.554680
1664.062500	-68.585907
1687.500000	-70.401596
1710.937500	-77.675804
1734.375000	-75.637207
1757.812500	-68.984871
1781.250000	-66.320618
1804.687500	-72.727036
1828.125000	-76.189659
1851.562500	-72.799934
1875.000000	-68.530640
1898.437500	-69.957108
1921.875000	-78.092392
1945.312500	-76.883957
1968.750000	-71.101616
1992.187500	-69.129700
2015.625000	-73.659798
2039.062500	-81.089813
2062.500000	-78.906815
2085.937500	-74.204987
2109.375000	-71.298508
2132.812500	-73.230064
2156.250000	-81.557449
2179.687500	-81.436790
2203.125000	-77.040581
2226.562500	-75.437874
2250.000000	-78.741486
2273.437500	-84.308601
2296.875000	-82.988792
2320.312500	-77.826263
2343.750000	-76.204887
2367.187500	-71.872482
2390.625000	-71.736496
2414.062500	-79.748665
2437.500000	-84.926155
2460.937500	-82.202850
2484.375000	-77.865601
2507.812500	-76.223450
2531.250000	-74.883469
2554.687500	-80.783691
2578.125000	-84.895538
2601.562500	-84.330559
2625.000000	-85.505447
