주파수 (Hz)	레벨 (dB)
11.718750	-108.070122
23.437500	-104.021492
35.156250	-97.112267
46.875000	-90.328262
58.593750	-83.504478
70.312500	-70.912399
82.031250	-59.978432
93.750000	-49.537327
105.468750	-50.441845
117.187500	-57.021664
128.906250	-56.230106
140.625000	-44.040810
152.343750	-42.814690
164.062500	-49.109287
175.781250	-45.821198
187.500000	-35.763374
199.218750	-32.364891
210.937500	-41.030788
222.656250	-47.259632
234.375000	-53.954632
246.093750	-57.441689
257.812500	-55.400787
269.531250	-51.810570
281.250000	-45.097080
292.968750	-38.741154
304.687500	-42.846420
316.406250	-52.843941
328.125000	-52.243759
339.843750	-40.064934
351.562500	-35.578190
363.281250	-41.868710
375.000000	-44.416714
386.718750	-35.384975
398.437500	-34.831276
410.156250	-44.356026
421.875000	-47.075832
433.593750	-34.715321
445.312500	-32.258354
457.031250	-40.105274
468.750000	-47.205868
480.468750	-49.640297
492.187500	-48.266182
503.906250	-47.096554
515.625000	-35.996666
527.343750	-32.205875
539.062500	-39.180454
550.781250	-52.264980
562.500000	-49.867378
574.218750	-41.631500
585.937500	-32.159893
597.656250	-33.444950
609.375000	-47.979267
621.093750	-54.097683
632.812500	-53.206390
644.531250	-52.876610
656.250000	-49.257313
667.968750	-44.840267
679.687500	-39.659748
691.406250	-31.389053
703.125000	-27.423811
714.843750	-33.896339
726.562500	-46.063293
738.281250	-50.549313
750.000000	-52.082764
761.718750	-50.095657
773.437500	-39.900265
785.156250	-31.358637
796.875000	-33.930180
808.593750	-46.215179
820.312500	-49.855930
832.031250	-50.065636
843.750000	-48.920345
855.468750	-45.363613
867.187500	-33.925041
878.906250	-23.284868
890.625000	-23.718922
902.343750	-35.335190
914.062500	-48.270515
925.781250	-55.311619
937.500000	-58.718765
949.218750	-59.711792
960.937500	-56.292286
972.656250	-55.645996
984.375000	-54.223522
996.093750	-56.763657
1007.812500	-63.601429
1019.531250	-60.845753
1031.250000	-56.161983
1042.968750	-50.533607
1054.687500	-46.126041
1066.406250	-51.900623
1078.125000	-59.522362
1089.843750	-56.813992
1101.562500	-51.370239
1113.281250	-52.168118
1125.000000	-61.805443
1136.718750	-63.490616
1148.437500	-62.092617
1160.156250	-57.928185
1171.875000	-42.662624
1183.593750	-37.179626
1195.312500	-42.593468
1207.031250	-56.795788
1218.750000	-55.889393
1230.468750	-52.030441
1242.187500	-56.144001
1253.906250	-62.840286
1265.625000	-63.978081
1277.343750	-61.323547
1289.062500	-58.981762
1300.781250	-57.627964
1312.500000	-51.405289
1324.218750	-44.316441
1335.937500	-45.864281
1347.656250	-52.463345
1359.375000	-59.413395
1371.093750	-51.480587
1382.812500	-46.585827
1394.531250	-50.118279
1406.250000	-47.558208
1417.968750	-51.774864
1429.687500	-61.408054
1441.406250	-59.983376
1453.125000	-59.531326
1464.843750	-59.780369
1476.562500	-54.907959
1488.281250	-54.735069
1500.000000	-61.762573
1511.718750	-69.523941
1523.437500	-66.835594
1535.156250	-64.885788
1546.875000	-58.735229
1558.593750	-55.842041
1570.312500	-45.269005
1582.031250	-38.418041
1593.750000	-41.673687
1605.468750	-56.331718
1617.187500	-64.333450
1628.906250	-63.722145
1640.625000	-63.679062
1652.343750	-62.451290
1664.062500	-63.344257
1675.781250	-64.149628
1687.500000	-64.739182
1699.218750	-64.717560
1710.937500	-63.508129
1722.656250	-61.141830
1734.375000	-57.458626
1746.093750	-53.807858
1757.812500	-44.817196
1769.531250	-38.328720
